V1,V2
1997,1997,-0.0591671796081155
1998,1998,0.00502160064738986
1999,1999,0.0431300679409782
2000,2000,0.0333409744095009
2001,2001,-0.011750229632966
2002,2002,-0.0455670474835159
2003,2003,-0.0717911742648423
2004,2004,-0.0569976595122897
2005,2005,0.0243278421450266
2006,2006,-0.0441125656476867
2007,2007,-0.0156850542554155
2008,2008,0.00992728938271135
2009,2009,0.065962496621545
2010,2010,0.082670507060241
2011,2011,-0.0247384816812696
2012,2012,0.0553062255395355
2013,2013,0.0560260554793923
2014,2014,0.0673439894603039
2015,2015,0.0620002140831683
2016,2016,-0.0175731918692381
2017,2017,0.0356506431955848
2018,2018,0.0225095548290777
