Treated,Synthetic,Sample Mean
k98,9.447,9.433,8.209
k_p98,-4.11,-4.097,-4.707
GVA_Agr,0.045,0.043,0.124
GVA_Ind,0.272,0.275,0.268
GVA_Trade,0.29,0.29,0.22
GVA_Constr,0.086,0.086,0.068
GVA_FBS,0.129,0.138,0.154
h98_Trade,1.319,1.318,1.044
dwellings2000,12.3,12.303,11.827
urban,0.575,0.574,0.431
modern,0.053,0.12,0.088
av_age_ln,3.471,3.471,3.568
