V1,V2
1997,1997,0.0717480099495599
1998,1998,-0.00796751905946987
1999,1999,0.0374095162838888
2000,2000,-0.0251849020548729
2001,2001,0.0414840896520835
2002,2002,0.0179961142037332
2003,2003,0.0356735133571472
2004,2004,-0.00582035937343429
2005,2005,0.072808548870482
2006,2006,0.0521511396458206
2007,2007,0.0665929732826292
2008,2008,-0.0739871082454667
2009,2009,-0.175236284231
2010,2010,0.0588385636001808
2011,2011,0.0333417172620548
2012,2012,0.0393105307902046
2013,2013,0.0307529478846858
2014,2014,0.0220450208655185
2015,2015,-0.0278988643853573
2016,2016,-0.0104809425415726
2017,2017,0.00532210296046153
2018,2018,0.0253420694077451
