V1,V2
1997,1997,0.124667850219173
1998,1998,-0.00230378507841096
1999,1999,-0.0424349497303262
2000,2000,0.0472829884560886
2001,2001,-0.0181922448337112
2002,2002,0.0123123264682081
2003,2003,0.0637036737621698
2004,2004,0.0175990307233535
2005,2005,0.0811912048736801
2006,2006,0.0325502477886164
2007,2007,0.042974607459244
2008,2008,-0.0135993674133276
2009,2009,-0.177283737230767
2010,2010,0.0543171095774492
2011,2011,0.0726647042095265
2012,2012,0.0452193301954278
2013,2013,0.0319234066304427
2014,2014,0.00703823608791635
2015,2015,-0.0167147734179776
2016,2016,-0.0198409074211878
2017,2017,-0.00599386550508492
2018,2018,-0.0288059590616854
