Treated,Synthetic,Sample Mean
k98,7.019,8.451,8.209
k_p98,-4.019,-4.036,-4.707
GVA_Agr,0.031,0.059,0.124
GVA_Ind,0.411,0.379,0.268
GVA_Trade,0.133,0.202,0.22
GVA_Constr,0.066,0.066,0.068
GVA_FBS,0.179,0.128,0.154
h98_Trade,2.115,1.508,1.044
dwellings2000,9.747,11.367,11.827
urban,0.568,0.556,0.431
modern,0.05,0.07,0.088
av_age_ln,3.715,3.677,3.568
