V1,V2
1997,1997,0.030185757308525
1998,1998,0.00499944357763628
1999,1999,-0.0336041381634017
2000,2000,-0.0356988929243337
2001,2001,-0.00950791480631173
2002,2002,-0.00848361791144916
2003,2003,-0.0235541580404193
2004,2004,-0.0380397880805704
2005,2005,-0.00196298207865078
2006,2006,0.0150060779622248
2007,2007,0.00499436717080441
2008,2008,-0.00901364682192147
2009,2009,-0.0556031054251268
2010,2010,0.054888124267029
2011,2011,-0.00985271048609623
2012,2012,0.0163270824772485
2013,2013,-0.0237273476033513
2014,2014,-0.0175754792955649
2015,2015,-0.0241833883442583
2016,2016,-0.0267974895017866
2017,2017,-0.0265914832548076
2018,2018,-0.0188151490903101
