Treated,Synthetic,Sample Mean
k98,9.19,9.207,8.209
k_p98,-4.015,-4.031,-4.707
GVA_Agr,0.015,0.021,0.124
GVA_Ind,0.178,0.181,0.268
GVA_Trade,0.378,0.314,0.22
GVA_Constr,0.08,0.082,0.068
GVA_FBS,0.2,0.214,0.154
h98_Trade,1.441,1.826,1.044
dwellings2000,12.297,12.305,11.827
urban,0.86,0.724,0.431
modern,0.048,0.059,0.088
av_age_ln,3.493,3.754,3.568
