Treated,Synthetic,Sample Mean
k98,7.336,7.629,8.209
k_p98,-3.862,-4.264,-4.707
GVA_Agr,0.053,0.111,0.124
GVA_Ind,0.423,0.266,0.268
GVA_Trade,0.142,0.162,0.22
GVA_Constr,0.043,0.059,0.068
GVA_FBS,0.16,0.154,0.154
h98_Trade,2.115,1.658,1.044
dwellings2000,10.098,10.812,11.827
urban,0.38,0.361,0.431
modern,0.095,0.108,0.088
av_age_ln,3.609,3.588,3.568
