100,101
1997,-0.0571507171033747,-0.0611836421128563
1998,-0.013561791158979,0.0236049924537587
1999,0.0264264369549688,0.0598336989269877
2000,0.0143409789782251,0.0523409698407768
2001,-0.02710574927618,0.00360529001024797
2002,-0.034206667330398,-0.0569274276366338
2003,-0.0390786870172478,-0.104503661512437
2004,-0.0633688676475154,-0.050626451377064
2005,-0.0227560744642231,0.0714117587542764
2006,-0.0312299661777826,-0.0569951651175909
2007,0.00121513339517648,-0.0325852419060075
2008,0.00603315445441955,0.0138214243110032
2009,0.0161755064908291,0.115749486752261
2010,0.0723398379466444,0.0930011761738376
2011,-0.0253211687579634,-0.0241557946045759
2012,0.0541716713429047,0.0564407797361663
2013,0.0674221750684579,0.0446299358903267
2014,0.0470238702011351,0.0876641087194727
2015,0.0630977979910372,0.0609026301752994
2016,-0.0204560803278604,-0.0146903034106159
2017,0.0193338991053764,0.0519673872857933
2018,-0.0152198335051969,0.0602389431633523
