Treated,Synthetic,Sample Mean
k98,6.989,8.119,8.209
k_p98,-3.827,-4.455,-4.707
GVA_Agr,0.1,0.094,0.124
GVA_Ind,0.312,0.297,0.268
GVA_Trade,0.192,0.195,0.22
GVA_Constr,0.082,0.073,0.068
GVA_FBS,0.162,0.153,0.154
h98_Trade,2.115,1.689,1.044
dwellings2000,9.901,11.465,11.827
urban,0.287,0.385,0.431
modern,0.065,0.072,0.088
av_age_ln,3.789,3.762,3.568
