Treated,Synthetic,Sample Mean
k98,7.624,8.099,8.209
k_p98,-5.242,-4.903,-4.707
GVA_Agr,0.073,0.161,0.124
GVA_Ind,0.21,0.339,0.268
GVA_Trade,0.295,0.238,0.22
GVA_Constr,0.032,0.046,0.068
GVA_FBS,0.069,0.109,0.154
h98_Trade,0.498,0.743,1.044
dwellings2000,11.939,11.915,11.827
urban,0.566,0.441,0.431
modern,0.055,0.058,0.088
av_age_ln,3.574,3.577,3.568
