Treated,Synthetic,Sample Mean
k98,8.414,8.385,8.209
k_p98,-3.768,-4.149,-4.707
GVA_Agr,0.034,0.058,0.124
GVA_Ind,0.377,0.363,0.268
GVA_Trade,0.22,0.212,0.22
GVA_Constr,0.051,0.054,0.068
GVA_FBS,0.166,0.162,0.154
h98_Trade,2.651,1.92,1.044
dwellings2000,11.164,11.526,11.827
urban,0.389,0.395,0.431
modern,0.069,0.089,0.088
av_age_ln,3.647,3.603,3.568
