306
1997 -0,00547815442414347
1998 -0,0399093711716446
1999 0,0540748348428895
2000 -0,0688351884572801
2001 -0,0189898093730772
2002 0,00993701727964617
2003 0,00314169848199305
2004 0,0519760565097911
2005 0,00319384984824753
2006 -0,0556990106273969
2007 -0,125316398185262
2008 0,0685038622654685
2009 0,03006001453631
2010 -0,0533019565053051
2011 0,0795072673968409
2012 -0,0595731161591371
2013 0,0980476498989279
2014 -0,0636598837822245
2015 0,0220704046614029
2016 0,00575083751295581
2017 0,0258366460405257
2018 -0,0227325350213475
