249
1997 0,00457030232318517
1998 0,00896710241858809
1999 0,00266494429056925
2000 0,0369859994555995
2001 -0,00810626617420449
2002 -0,0179725818333014
2003 -0,000908528911812569
2004 -0,0132516296906747
2005 -0,00917148593762619
2006 0,000204616665121976
2007 0,0119508976853865
2008 -0,0145700974436117
2009 0,0338858055138776
2010 -0,00517997857683403
2011 0,00304538646487566
2012 -0,00140178260399684
2013 -0,0121348924083215
2014 0,011725270241207
2015 0,00148278403448948
2016 0,0280567071187069
2017 -0,022750665841239
2018 0,0104768000472061
