225
1997 0,00681434771965504
1998 0,00186196995090114
1999 0,00323414070323998
2000 0,00989569351781099
2001 -0,0351097671220441
2002 -0,0141289241036117
2003 -0,0325417818741977
2004 -0,0303746576094744
2005 0,0302155223565694
2006 -0,00722438924827433
2007 -0,0338101978616873
2008 0,00940828621194621
2009 -0,0189424607653231
2010 -0,00580059943732874
2011 0,00706190557920502
2012 -0,0100423101123323
2013 0,00206688108574035
2014 0,00844150593429732
2015 0,00707439436285097
2016 -0,0171669124120568
2017 0,00965624090705974
2018 0,00344606576069979
