138
1997 -0,00629147278404929
1998 0,0505971829454639
1999 -0,00722013109030331
2000 -0,0299350282982812
2001 -0,00200288580155736
2002 -0,0322882414295819
2003 0,0472632399163126
2004 -0,0145283314423146
2005 -0,052820631012314
2006 0,0422988752399583
2007 0,0299347467278933
2008 0,0282547762258093
2009 0,0709787906574435
2010 0,0479092187909055
2011 -0,0209461059128112
2012 0,0224510953263606
2013 0,061723779060973
2014 0,0371772213378715
2015 0,0646629949305344
2016 -0,0423028212371322
2017 -0,0462822678065126
2018 0,00212891343047176
