248
1997 0,00475983121355097
1998 0,00153057102580285
1999 0,00395012915007968
2000 -0,0270714945342227
2001 0,031800414855112
2002 -0,0611356784721068
2003 -8,81793740831679e-05
2004 -0,0143296109148296
2005 0,0431496216822705
2006 0,00434738449238299
2007 -0,0282116033749193
2008 0,0441327735878862
2009 0,0276248250749039
2010 -0,0211305542682609
2011 3,21849439836874e-05
2012 0,00393551555681334
2013 -0,0117521303636545
2014 -0,00428768066901063
2015 -0,00538226218163998
2016 -0,0285927570040928
2017 0,0398382881491224
2018 0,018213496197554
