159
1997 -0,0281215965606285
1998 -0,00212593934586889
1999 0,0113321039442942
2000 0,0330579044437932
2001 0,0237349702510918
2002 -0,0306098899388869
2003 -0,00472869865014805
2004 -0,013328078710514
2005 0,0171317118776919
2006 -0,00133755768078811
2007 0,0179817961297997
2008 -0,0316672859883815
2009 -0,00275156907348928
2010 -0,00022410474098165
2011 0,0630773769877395
2012 -0,0292528760812017
2013 -0,00409127885874291
2014 0,030662037657274
2015 -0,0276203629638953
2016 0,000175000939713715
2017 -0,014308003452812
2018 -0,0353096981811557
