,date,Uber,metroid
177,2020-07-12,68,US-FL-534
178,2020-07-19,52,US-FL-534
179,2020-07-26,66,US-FL-534
180,2020-08-02,46,US-FL-534
181,2020-08-09,69,US-FL-534
182,2020-08-16,52,US-FL-534
183,2020-08-23,54,US-FL-534
184,2020-08-30,52,US-FL-534
185,2020-09-06,50,US-FL-534
186,2020-09-13,73,US-FL-534
187,2020-09-20,53,US-FL-534
188,2020-09-27,66,US-FL-534
189,2020-10-04,46,US-FL-534
190,2020-10-11,60,US-FL-534
191,2020-10-18,79,US-FL-534
192,2020-10-25,57,US-FL-534
193,2020-11-01,60,US-FL-534
194,2020-11-08,46,US-FL-534
195,2020-11-15,58,US-FL-534
196,2020-11-22,48,US-FL-534
197,2020-11-29,62,US-FL-534
198,2020-12-06,86,US-FL-534
199,2020-12-13,63,US-FL-534
200,2020-12-20,60,US-FL-534
201,2020-12-27,67,US-FL-534
202,2021-01-03,68,US-FL-534
203,2021-01-10,67,US-FL-534
204,2021-01-17,55,US-FL-534
205,2021-01-24,83,US-FL-534
206,2021-01-31,52,US-FL-534
207,2021-02-07,77,US-FL-534
208,2021-02-14,83,US-FL-534
209,2021-02-21,73,US-FL-534
210,2021-02-28,67,US-FL-534
211,2021-03-07,82,US-FL-534
212,2021-03-14,92,US-FL-534
213,2021-03-21,72,US-FL-534
214,2021-03-28,69,US-FL-534
215,2021-04-04,92,US-FL-534
216,2021-04-11,100,US-FL-534
217,2021-04-18,64,US-FL-534
218,2021-04-25,79,US-FL-534
219,2021-05-02,75,US-FL-534
220,2021-05-09,89,US-FL-534
221,2021-05-16,65,US-FL-534
222,2021-05-23,63,US-FL-534
223,2021-05-30,91,US-FL-534
224,2021-06-06,67,US-FL-534
225,2021-06-13,92,US-FL-534
226,2021-06-20,85,US-FL-534
227,2021-06-27,83,US-FL-534
228,2021-07-04,87,US-FL-534
229,2021-07-11,86,US-FL-534
230,2021-07-18,56,US-FL-534
231,2021-07-25,59,US-FL-534
232,2021-08-01,88,US-FL-534
233,2021-08-08,67,US-FL-534
234,2021-08-15,82,US-FL-534
235,2021-08-22,71,US-FL-534
236,2021-08-29,70,US-FL-534
237,2020-03-01,93,US-PA-508
238,2020-03-08,81,US-PA-508
239,2020-03-15,100,US-PA-508
240,2020-03-22,87,US-PA-508
241,2020-03-29,52,US-PA-508
242,2020-04-05,52,US-PA-508
243,2020-04-12,76,US-PA-508
244,2020-04-19,68,US-PA-508
245,2020-04-26,63,US-PA-508
246,2020-05-03,55,US-PA-508
247,2020-05-10,43,US-PA-508
248,2020-05-17,63,US-PA-508
249,2020-05-24,39,US-PA-508
250,2020-05-31,57,US-PA-508
251,2020-06-07,59,US-PA-508
252,2020-06-14,50,US-PA-508
253,2020-06-21,51,US-PA-508
254,2020-06-28,42,US-PA-508
255,2020-07-05,27,US-PA-508
256,2020-07-12,52,US-PA-508
257,2020-07-19,49,US-PA-508
258,2020-07-26,85,US-PA-508
259,2020-08-02,49,US-PA-508
260,2020-08-09,56,US-PA-508
261,2020-08-16,49,US-PA-508
262,2020-08-23,46,US-PA-508
263,2020-08-30,63,US-PA-508
264,2020-09-06,64,US-PA-508
265,2020-09-13,52,US-PA-508
266,2020-09-20,46,US-PA-508
267,2020-09-27,48,US-PA-508
268,2020-10-04,46,US-PA-508
269,2020-10-11,57,US-PA-508
270,2020-10-18,26,US-PA-508
271,2020-10-25,41,US-PA-508
272,2020-11-01,63,US-PA-508
273,2020-11-08,54,US-PA-508
274,2020-11-15,47,US-PA-508
275,2020-11-22,59,US-PA-508
276,2020-11-29,68,US-PA-508
277,2020-12-06,67,US-PA-508
278,2020-12-13,65,US-PA-508
279,2020-12-20,27,US-PA-508
280,2020-12-27,48,US-PA-508
281,2021-01-03,53,US-PA-508
282,2021-01-10,44,US-PA-508
283,2021-01-17,53,US-PA-508
284,2021-01-24,80,US-PA-508
285,2021-01-31,53,US-PA-508
286,2021-02-07,53,US-PA-508
287,2021-02-14,36,US-PA-508
288,2021-02-21,68,US-PA-508
289,2021-02-28,58,US-PA-508
290,2021-03-07,88,US-PA-508
291,2021-03-14,34,US-PA-508
292,2021-03-21,62,US-PA-508
293,2021-03-28,52,US-PA-508
294,2021-04-04,75,US-PA-508
295,2021-04-11,91,US-PA-508
296,2021-04-18,40,US-PA-508
297,2021-04-25,47,US-PA-508
298,2021-05-02,59,US-PA-508
299,2021-05-09,65,US-PA-508
300,2021-05-16,86,US-PA-508
301,2021-05-23,72,US-PA-508
302,2021-05-30,69,US-PA-508
303,2021-06-06,47,US-PA-508
304,2021-06-13,67,US-PA-508
305,2021-06-20,43,US-PA-508
306,2021-06-27,44,US-PA-508
307,2021-07-04,72,US-PA-508
308,2021-07-11,54,US-PA-508
309,2021-07-18,36,US-PA-508
310,2021-07-25,35,US-PA-508
311,2021-08-01,79,US-PA-508
312,2021-08-08,47,US-PA-508
313,2021-08-15,73,US-PA-508
314,2021-08-22,42,US-PA-508
315,2021-08-29,50,US-PA-508
316,2020-03-01,80,US-FL-528
317,2020-03-08,67,US-FL-528
318,2020-03-15,80,US-FL-528
319,2020-03-22,74,US-FL-528
320,2020-03-29,62,US-FL-528
321,2020-04-05,59,US-FL-528
322,2020-04-12,53,US-FL-528
323,2020-04-19,72,US-FL-528
324,2020-04-26,80,US-FL-528
325,2020-05-03,61,US-FL-528
326,2020-05-10,50,US-FL-528
327,2020-05-17,53,US-FL-528
328,2020-05-24,56,US-FL-528
329,2020-05-31,55,US-FL-528
330,2020-06-07,43,US-FL-528
331,2020-06-14,61,US-FL-528
332,2020-06-21,59,US-FL-528
333,2020-06-28,63,US-FL-528
334,2020-07-05,63,US-FL-528
335,2020-07-12,66,US-FL-528
336,2020-07-19,62,US-FL-528
337,2020-07-26,54,US-FL-528
338,2020-08-02,60,US-FL-528
339,2020-08-09,50,US-FL-528
340,2020-08-16,47,US-FL-528
341,2020-08-23,50,US-FL-528
342,2020-08-30,53,US-FL-528
343,2020-09-06,48,US-FL-528
344,2020-09-13,50,US-FL-528
345,2020-09-20,55,US-FL-528
346,2020-09-27,59,US-FL-528
347,2020-10-04,64,US-FL-528
348,2020-10-11,63,US-FL-528
349,2020-10-18,34,US-FL-528
350,2020-10-25,47,US-FL-528
351,2020-11-01,43,US-FL-528
352,2020-11-08,47,US-FL-528
353,2020-11-15,42,US-FL-528
354,2020-11-22,63,US-FL-528
355,2020-11-29,70,US-FL-528
356,2020-12-06,51,US-FL-528
357,2020-12-13,47,US-FL-528
358,2020-12-20,55,US-FL-528
359,2020-12-27,54,US-FL-528
360,2021-01-03,54,US-FL-528
361,2021-01-10,54,US-FL-528
362,2021-01-17,66,US-FL-528
363,2021-01-24,62,US-FL-528
364,2021-01-31,54,US-FL-528
365,2021-02-07,64,US-FL-528
366,2021-02-14,54,US-FL-528
367,2021-02-21,54,US-FL-528
368,2021-02-28,51,US-FL-528
369,2021-03-07,56,US-FL-528
370,2021-03-14,65,US-FL-528
371,2021-03-21,82,US-FL-528
372,2021-03-28,67,US-FL-528
373,2021-04-04,72,US-FL-528
374,2021-04-11,100,US-FL-528
375,2021-04-18,70,US-FL-528
376,2021-04-25,69,US-FL-528
377,2021-05-02,62,US-FL-528
378,2021-05-09,80,US-FL-528
379,2021-05-16,67,US-FL-528
380,2021-05-23,63,US-FL-528
381,2021-05-30,71,US-FL-528
382,2021-06-06,72,US-FL-528
383,2021-06-13,65,US-FL-528
384,2021-06-20,68,US-FL-528
385,2021-06-27,74,US-FL-528
386,2021-07-04,72,US-FL-528
387,2021-07-11,54,US-FL-528
388,2021-07-18,89,US-FL-528
389,2021-07-25,78,US-FL-528
390,2021-08-01,72,US-FL-528
391,2021-08-08,56,US-FL-528
392,2021-08-15,67,US-FL-528
393,2021-08-22,76,US-FL-528
394,2021-08-29,54,US-FL-528
395,2020-03-01,51,US-CA-862
396,2020-03-08,60,US-CA-862
397,2020-03-15,90,US-CA-862
398,2020-03-22,58,US-CA-862
399,2020-03-29,68,US-CA-862
400,2020-04-05,53,US-CA-862
401,2020-04-12,60,US-CA-862
402,2020-04-19,47,US-CA-862
403,2020-04-26,68,US-CA-862
404,2020-05-03,51,US-CA-862
405,2020-05-10,73,US-CA-862
406,2020-05-17,37,US-CA-862
407,2020-05-24,49,US-CA-862
408,2020-05-31,65,US-CA-862
409,2020-06-07,56,US-CA-862
410,2020-06-14,52,US-CA-862
411,2020-06-21,60,US-CA-862
412,2020-06-28,59,US-CA-862
413,2020-07-05,68,US-CA-862
414,2020-07-12,54,US-CA-862
415,2020-07-19,35,US-CA-862
416,2020-07-26,52,US-CA-862
417,2020-08-02,55,US-CA-862
418,2020-08-09,54,US-CA-862
419,2020-08-16,100,US-CA-862
420,2020-08-23,37,US-CA-862
421,2020-08-30,39,US-CA-862
422,2020-09-06,52,US-CA-862
423,2020-09-13,39,US-CA-862
424,2020-09-20,62,US-CA-862
425,2020-09-27,61,US-CA-862
426,2020-10-04,60,US-CA-862
427,2020-10-11,80,US-CA-862
428,2020-10-18,63,US-CA-862
429,2020-10-25,53,US-CA-862
430,2020-11-01,45,US-CA-862
431,2020-11-08,46,US-CA-862
432,2020-11-15,55,US-CA-862
433,2020-11-22,64,US-CA-862
434,2020-11-29,68,US-CA-862
435,2020-12-06,50,US-CA-862
436,2020-12-13,29,US-CA-862
437,2020-12-20,54,US-CA-862
438,2020-12-27,46,US-CA-862
439,2021-01-03,46,US-CA-862
440,2021-01-10,57,US-CA-862
