Treated,Synthetic,Sample Mean
k98,8.157,8.16,8.21
k_p98,-4.804,-4.799,-4.706
GVA_Agr,0.085,0.088,0.124
GVA_Ind,0.262,0.266,0.268
GVA_Trade,0.226,0.229,0.22
GVA_Constr,0.099,0.092,0.067
GVA_FBS,0.128,0.141,0.154
h98_Trade,1.237,1.233,1.043
dwellings2000,11.826,11.825,11.827
urban,0.668,0.586,0.43
modern,0.082,0.082,0.088
av_age_ln,3.737,3.736,3.567
special.lnGDPpc_change.1998,0.023,0.024,0.022
special.lnGDPpc_change.2003,0.001,0.024,0.058
special.lnGDPpc_change.2006,0.058,0.058,0.064
