150
1997 0,0111622392387562
1998 0,00843985236233116
1999 0,0170115986000136
2000 -0,0380606482772878
2001 0,0404051050744798
2002 0,0205617551787212
2003 0,0401618755800638
2004 0,00217353289566061
2005 0,0354815426047947
2006 -0,0264792384336341
2007 0,00886574414413679
2008 -0,0222518514730481
2009 0,0262375309503071
2010 0,0526454079058663
2011 -0,0525607066704827
2012 -0,00465787758891623
2013 0,0230114594546401
2014 -0,0213796576540291
2015 0,00733389005693412
2016 -0,0209344041787189
2017 -0,0191240730080529
2018 0,0344816489486347
