154
1997 -0,0211779513697032
1998 -0,00560960790331981
1999 0,00396691197077943
2000 0,0230992845724987
2001 -0,020635587844661
2002 0,013259620684221
2003 -0,00160845458995694
2004 -0,0369024914737609
2005 -0,0204505918932036
2006 -0,0274294323463829
2007 0,0116530845137667
2008 -0,0289801601569349
2009 0,00968752947806281
2010 -0,0100701546014222
2011 0,00302209241309899
2012 -0,0143527936792869
2013 0,00446221620336598
2014 -0,0107617394817406
2015 -0,0447475007582701
2016 0,0117362636591926
2017 -0,00382924551921274
2018 -0,0133486210115471
