279
1997 0,0155578347637478
1998 -0,0132273681500223
1999 -0,00884407420910523
2000 -0,053584431425102
2001 -0,07860222305642
2002 0,0336530226861831
2003 0,0258125967410384
2004 -0,00305292430023568
2005 0,0940068456455789
2006 0,00116580245214429
2007 -0,0236849804781147
2008 0,0131066055152348
2009 0,0136160980941546
2010 -0,0992815378283548
2011 0,0233937079500444
2012 0,0475544837196914
2013 -0,0448684858566457
2014 0,00931147323823837
2015 0,0213665154663988
2016 0,0266331660062987
2017 -0,0414080916518055
2018 -0,0199386170627387
