Treated,Synthetic,Sample Mean
k98,8.212,8.326,8.209
k_p98,-4.886,-4.692,-4.706
GVA_Agr,0.037,0.057,0.124
GVA_Ind,0.311,0.312,0.267
GVA_Trade,0.239,0.24,0.22
GVA_Constr,0.077,0.077,0.068
GVA_FBS,0.138,0.138,0.154
h98_Trade,1.414,1.409,1.042
dwellings2000,11.675,11.675,11.828
urban,0.29,0.293,0.432
modern,0.115,0.114,0.088
av_age_ln,3.465,3.465,3.568
special.lnGDPpc_change.1998,0.03,0.038,0.022
special.lnGDPpc_change.2003,0.053,0.053,0.058
special.lnGDPpc_change.2006,0.075,0.075,0.064
