Treated,Synthetic,Sample Mean
k98,7.995,7.774,8.21
k_p98,-4.894,-4.851,-4.706
GVA_Agr,0.112,0.113,0.124
GVA_Ind,0.267,0.267,0.268
GVA_Trade,0.242,0.242,0.22
GVA_Constr,0.075,0.075,0.068
GVA_FBS,0.128,0.129,0.154
h98_Trade,1.245,1.24,1.043
dwellings2000,11.38,11.389,11.829
urban,0.547,0.546,0.43
modern,0.093,0.093,0.088
av_age_ln,3.67,3.67,3.567
special.lnGDPpc_change.1998,0.026,0.027,0.022
special.lnGDPpc_change.2003,0.017,0.017,0.058
special.lnGDPpc_change.2006,0.055,0.055,0.064
