132
1997 -0,0278690471925871
1998 0,0503686560365037
1999 -0,0104260043090255
2000 0,110693677637578
2001 0,0314517825222772
2002 -0,0163889418869921
2003 -0,0279881395267525
2004 -0,0070507986496281
2005 -0,0620028306610293
2006 0,0262503532348982
2007 0,0096773497021255
2008 -0,00927469758400544
2009 -0,0206774447341767
2010 -0,0666155964348654
2011 0,0352195504789681
2012 0,0277651562744353
2013 -0,0187365688330673
2014 0,110312901473738
2015 -0,0678283216201415
2016 -0,0424929965014578
2017 -0,00767796306329892
2018 0,0486032484334717
