304
1997 0,0443246248741911
1998 -0,00504172203305071
1999 -0,0129770037811575
2000 0,0122157935530488
2001 -0,0263969241745312
2002 0,00849382077579737
2003 0,00143624547949298
2004 0,0151658102333238
2005 -0,030794656949972
2006 0,0498486472621304
2007 0,0582884656860875
2008 -0,00985481606239498
2009 -0,0299077976098391
2010 0,182757650197958
2011 -0,038176553600463
2012 -0,0535174682094457
2013 -0,0848245940359684
2014 0,0431120210816046
2015 0,0543456774296482
2016 -0,011685872692512
2017 -0,012191469336693
2018 -0,0358557576071681
