w.weights,unit.names,unit.numbers
122,0,Vidin,122
123,0,Montana,123
124,0,Vratsa,124
125,0,Pleven,125
126,0,Lovech,126
127,0,Veliko Tarnovo,127
128,0,Gabrovo,128
129,0,Ruse,129
130,0,Razgrad,130
131,0.033,Silistra,131
132,0,Varna,132
133,0,Dobrich,133
134,0,Shumen,134
135,0,Targovishte,135
136,0,Burgas,136
137,0,Sliven,137
138,0,Yambol,138
139,0,Stara Zagora,139
140,0,Sofia (stolitsa),140
141,0,Sofia,141
142,0,Blagoevgrad,142
143,0,Pernik,143
144,0,Kyustendil,144
145,0,Plovdiv,145
146,0,Haskovo,146
147,0,Pazardzhik,147
148,0,Smolyan,148
149,0,Kardzhali,149
150,0,Hlavní mesto Praha,150
151,0,Stredoceský kraj,151
152,0,Jihocecký kraj,152
153,0,Plzenský kraj,153
154,0,Karlovarský kraj,154
155,0,Ústecký kraj,155
156,0,Liberecký kraj,156
157,0,Královéhradecký kraj,157
158,0,Pardubický kraj,158
159,0,Kraj Vysocina,159
160,0,Jihomoravský kraj,160
161,0,Olomoucký kraj,161
162,0,Zlínský kraj,162
163,0,Moravskoslezský kraj,163
164,0,Primorsko-goranska zupanija,164
165,0,Licko-senjska zupanija,165
166,0.054,Zadarska zupanija,166
167,0,Sibensko-kninska zupanija,167
168,0,Splitsko-dalmatinska zupanija,168
169,0,Istarska zupanija,169
170,0,Dubrovacko-neretvanska zupanija,170
171,0,Grad Zagreb,171
172,0,Zagrebacka zupanija,172
173,0,Krapinsko-zagorska zupanija,173
174,0,Varazdinska zupanija,174
175,0,Koprivnicko-krizevacka zupanija,175
176,0,Medimurska zupanija,176
177,0.117,Bjelovarsko-bilogorska zupanija,177
178,0,Viroviticko-podravska zupanija,178
179,0.269,Pozesko-slavonska zupanija,179
181,0.07,Osjecko-baranjska zupanija,181
182,0.217,Vukovarsko-srijemska zupanija,182
183,0.155,Karlovacka zupanija,183
184,0,Sisacko-moslavacka zupanija,184
185,0,Budapest,185
186,0,Pest,186
187,0,Fejér,187
188,0,Komárom-Esztergom,188
189,0,Veszprém,189
190,0,Gyor-Moson-Sopron,190
191,0,Vas,191
192,0,Zala,192
193,0,Baranya,193
194,0,Somogy,194
195,0,Tolna,195
196,0,Borsod-Abaúj-Zemplén,196
197,0,Heves,197
198,0,Nógrád,198
199,0,Hajdú-Bihar,199
200,0,Jász-Nagykun-Szolnok,200
201,0,Szabolcs-Szatmár-Bereg,201
202,0,Bács-Kiskun,202
203,0,Békés,203
204,0,Csongrád,204
205,0,Miasto Kraków,205
206,0,Krakowski,206
207,0,Tarnowski,207
208,0,Nowosadecki,208
209,0,Nowotarski,209
210,0,Oswiecimski,210
211,0,Czestochowski,211
212,0,Bielski,212
213,0,Rybnicki,213
214,0,Bytomski,214
215,0,Gliwicki,215
216,0,Katowicki,216
217,0,Sosnowiecki,217
218,0,Tyski,218
219,0,Pilski,219
220,0,Koninski,220
221,0,Miasto Poznan,221
222,0,Kaliski,222
223,0,Leszczynski,223
224,0,Poznanski,224
225,0,Miasto Szczecin,225
226,0,Koszalinski,226
227,0,Szczecinecko-pyrzycki,227
228,0,Szczecinski,228
229,0,Gorzowski,229
230,0,Zielonogórski,230
231,0,Miasto Wroclaw,231
232,0,Jeleniogórski,232
233,0,Legnicko-Glogowski,233
234,0,Walbrzyski,234
235,0,Wroclawski,235
236,0,Nyski,236
237,0,Opolski,237
238,0,Bydgosko-Torunski,238
239,0,Grudziadzki,239
240,0,Inowroclawski,240
241,0,Swiecki,241
242,0,Wloclawski,242
243,0,Elblaski,243
244,0,Olsztynski,244
245,0,Elcki,245
246,0,Trojmiejski,246
247,0,Gdanski,247
248,0,Slupski,248
249,0,Chojnicki,249
250,0,Starogardzki,250
251,0,Miasto Lódz,251
252,0,Lódzki,252
253,0,Piotrkowski,253
254,0,Sieradzki,254
255,0,Skierniewicki,255
256,0,Kielecki,256
257,0,Sandomiersko-jedrzejowski,257
258,0,Bialski,258
259,0,Chelmsko-zamojski,259
260,0,Lubelski,260
261,0,Pulawski,261
262,0,Krosnienski,262
263,0,Przemyski,263
264,0,Rzeszowski,264
265,0,Tarnobrzeski,265
266,0,Bialostocki,266
267,0,Lomzynski,267
268,0,Suwalski,268
269,0,Miasto Warszawa,269
270,0,Warszawski wschodni,270
271,0.084,Warszawski zachodni,271
272,0,Radomski,272
273,0,Ciechanowski,273
274,0,Plocki,274
275,0,Ostrolecki,275
276,0,Siedlecki,276
277,0,Zyrardowski,277
278,0,Bihor,278
279,0,Bistrita-Nasaud,279
280,0,Cluj,280
281,0,Maramures,281
282,0,Satu Mare,282
283,0,Salaj,283
284,0,Alba,284
285,0,Brasov,285
286,0,Covasna,286
287,0,Harghita,287
288,0,Mures,288
289,0,Sibiu,289
290,0,Bacau,290
291,0,Botosani,291
292,0,Iasi,292
293,0,Neamt,293
294,0,Suceava,294
295,0,Vaslui,295
296,0,Braila,296
297,0,Buzau,297
298,0,Constanta,298
299,0,Galati,299
300,0,Tulcea,300
301,0,Vrancea,301
302,0,Arges,302
303,0,Calarasi,303
304,0,Dâmbovita,304
305,0,Giurgiu,305
306,0,Ialomita,306
307,0,Prahova,307
308,0,Teleorman,308
309,0,Bucuresti,309
310,0,Ilfov,310
311,0,Dolj,311
312,0,Gorj,312
313,0,Mehedinti,313
314,0,Olt,314
315,0,Vâlcea,315
316,0,Arad,316
317,0,Caras-Severin,317
318,0,Hunedoara,318
319,0,Timis,319
