217
1997 0,0025687355457266
1998 -0,000798142550400512
1999 -0,0256894919789269
2000 -0,0275376180040386
2001 -0,0481157265968573
2002 0,0288603352100613
2003 0,00287928543940685
2004 0,0497284951595613
2005 -0,0898055741646857
2006 0,0193465121088956
2007 -0,0359502592673241
2008 -0,0593657501718536
2009 -0,0734227924485725
2010 -0,00496161161469021
2011 0,000525818243482135
2012 -0,00849320063171406
2013 0,00829267399466883
2014 0,0243152095492902
2015 0,00457950852098764
2016 0,0149212722510101
2017 -0,00758275041253031
2018 0,0259596878298157
