150
1997 -0,0165654263991258
1998 -0,00966320976971953
1999 0,00416561671942331
2000 -0,0346567528845352
2001 0,048270430755584
2002 0,0421400322498574
2003 0,042801153796654
2004 0,0103349998817455
2005 0,0380167676386483
2006 -0,0250674040671587
2007 0,0115499050245346
2008 -0,00304461324578802
2009 -0,00405956693145216
2010 0,0280174678423945
2011 -0,0479591053198113
2012 -0,0136668445086473
2013 0,0213222146634226
2014 -0,01532741569817
2015 0,0149594982136318
2016 -0,018231125327268
2017 -0,016531925616728
2018 0,0335863791082255
