209
1997 0,0152596072213929
1998 -0,00467420995428751
1999 0,00156265460537036
2000 0,00811547199939077
2001 -0,0431245225536807
2002 -0,00299999492063481
2003 -0,000639229576078496
2004 -0,0140121965127999
2005 0,0128659973726804
2006 -0,000190873763459047
2007 -0,00524838749075045
2008 0,0144342260396454
2009 0,0467150701763068
2010 -0,000573168494630595
2011 -0,0142296540703707
2012 0,0136670358363069
2013 -0,0115612646007845
2014 -0,000565368645969462
2015 0,0193578229768251
2016 0,0128569430970027
2017 0,00020450360832415
2018 0,0169435597359791
