Treated,Synthetic,Sample Mean
k98,7.581,7.579,8.213
k_p98,-5.293,-5.291,-4.704
GVA_Agr,0.253,0.253,0.123
GVA_Ind,0.271,0.27,0.268
GVA_Trade,0.163,0.162,0.22
GVA_Constr,0.047,0.047,0.068
GVA_FBS,0.145,0.145,0.154
h98_Trade,0.29,0.29,1.048
dwellings2000,11.774,11.775,11.827
urban,0.317,0.318,0.431
modern,0.061,0.066,0.088
av_age_ln,3.541,3.541,3.568
special.lnGDPpc_change.1998,-0.008,-0.008,0.022
special.lnGDPpc_change.2003,0.095,0.095,0.057
special.lnGDPpc_change.2006,0.072,0.072,0.064
