Treated,Synthetic,Sample Mean
k98,6.476,7.301,8.218
k_p98,-5.757,-5.251,-4.702
GVA_Agr,0.22,0.198,0.123
GVA_Ind,0.185,0.262,0.268
GVA_Trade,0.137,0.137,0.22
GVA_Constr,0.043,0.051,0.068
GVA_FBS,0.198,0.159,0.153
h98_Trade,-0.26,0.337,1.051
dwellings2000,11.168,11.572,11.83
urban,0.301,0.367,0.431
modern,0.035,0.059,0.088
av_age_ln,3.46,3.513,3.568
special.lnGDPpc_change.1998,0.198,0.143,0.021
special.lnGDPpc_change.2003,0.177,0.107,0.057
special.lnGDPpc_change.2006,-0.032,-0.013,0.065
