162
1997 0,0345835097123081
1998 -0,0105931006435016
1999 -0,0192340653341213
2000 -0,00305440758225513
2001 0,0121858755016584
2002 -0,0130034272584412
2003 -0,00145836992093112
2004 -0,0424440826642507
2005 0,0106405807066719
2006 0,00809706745927596
2007 -0,0102526974736821
2008 0,0290622041076949
2009 0,00981544799711782
2010 -0,0151752135818009
2011 -0,0123816683211835
2012 0,0126564781024109
2013 0,0100785736593604
2014 0,0221108758521708
2015 -0,0246698408812283
2016 -0,00720437464784912
2017 -0,00497344002971111
2018 -0,0224967796748465
