241
1997 0,016081626901845
1998 0,00228019664254746
1999 0,033638943335077
2000 -0,0286817469486776
2001 -0,00772440180233737
2002 -0,0222018849004089
2003 -0,00300434164489401
2004 0,0276291404972712
2005 -0,0510106597819585
2006 0,0226870508495215
2007 -0,0357097494137003
2008 -0,0454830667382892
2009 -0,00660128609899674
2010 0,059774549196698
2011 0,0244265495942623
2012 -0,0139716769700209
2013 0,0450508747568641
2014 0,0440261643300431
2015 -0,0131498884111018
2016 -0,0167719230459114
2017 0,0483731715488619
2018 0,110442464983012
