255
1997 0,0723145946424941
1998 -3,27251380391469e-06
1999 -0,00190404308135553
2000 -0,00572657765375115
2001 -0,0841708034096871
2002 0,0562645186657417
2003 -0,000151275806460446
2004 0,0232862409620784
2005 -0,0031008611882159
2006 0,000186505513293266
2007 -0,00725368080191782
2008 -0,0176364516379074
2009 -0,003002199701849
2010 0,0139184055694768
2011 0,024416540806731
2012 0,00997439073120573
2013 0,0142771155294514
2014 0,000388332229469469
2015 -0,0316387804119798
2016 0,0254873602834548
2017 -0,0183761841523548
2018 -0,0337543608887333
