159
1997 -0,0165036837113108
1998 -0,0023664819736052
1999 0,0112192729862605
2000 0,00819961444545801
2001 0,0461996882373612
2002 -0,0114900129238035
2003 -0,00237132086340327
2004 -0,0235091199292131
2005 0,0082920611415299
2006 -0,000547874649519248
2007 0,0263485523296592
2008 -0,0436247090348123
2009 0,00150402341174709
2010 0,00940217535876776
2011 0,0391374188202975
2012 -0,00492642182423725
2013 0,0116131474106978
2014 0,0259761932062044
2015 -0,0164646812066459
2016 0,00558367103676242
2017 -0,0116002936390059
2018 -0,0229052364730457
