309
1997 -0,0334952399343935
1998 -0,000375276353786917
1999 -0,0890556373263216
2000 0,0854173089891961
2001 -0,072332707821144
2002 -0,00703877782507445
2003 -0,0011291234141943
2004 -0,00377925127821604
2005 0,128827596136743
2006 -0,0106400427332615
2007 -0,0122614938877555
2008 0,148371912924909
2009 -0,088340506937432
2010 0,0112512225313891
2011 0,0636441107420613
2012 -0,0567831255076373
2013 0,0387040839941093
2014 -0,0176861666095828
2015 0,0698806578401907
2016 -0,0573836714668181
2017 -0,0496921966961485
2018 0,00263935708035
