205
1997 0,00308491825127002
1998 -8,61768579818005e-05
1999 0,0201664863689391
2000 -0,0366960797688219
2001 -0,0334700985989164
2002 -0,000353724426685117
2003 0,00786333027200894
2004 -0,00652245309819063
2005 0,0129016138329905
2006 0,0198677525270081
2007 -0,0235636787092657
2008 -0,0377382072222892
2009 -0,021586844618109
2010 -0,0104161235930302
2011 -0,000678911795335746
2012 -0,0212156807420156
2013 0,0262173511077439
2014 -0,00118412449434782
2015 -0,00575593151123746
2016 0,00630802683697108
2017 -0,000488802920668129
2018 0,00186904102473917
