277
1997 -0,0204476401738574
1998 -0,0164496393732156
1999 -0,0224835778651404
2000 0,014789774409376
2001 -0,0142852564188968
2002 -0,0021975330250374
2003 0,00887261468054791
2004 -0,0606354877851797
2005 0,0223309776720977
2006 -0,0071672321847109
2007 -0,0538541968943543
2008 -0,0456343756497671
2009 0,122083736039979
2010 -0,0199480851548062
2011 0,00995908429271574
2012 0,062642335591945
2013 0,00924055267602327
2014 -0,0121123229687341
2015 0,0553534415782273
2016 -0,0161215280093815
2017 -0,0382473444271371
2018 -0,0264703011432886
