308
1997 -0,0397672464912628
1998 -0,00235668937402167
1999 0,045225198463763
2000 -0,03058400431981
2001 0,0286535431863326
2002 -0,0119933285258438
2003 -0,0154831175435764
2004 0,0500578850810614
2005 -0,0686867237291569
2006 0,0129965683923787
2007 0,128945437522616
2008 0,0105880673885259
2009 -0,0264753527460212
2010 -0,0798749682175811
2011 0,0180325969459513
2012 0,161268655867321
2013 -0,15276317350375
2014 0,131226449124416
2015 -0,00997665589090349
2016 -0,00999134273573344
2017 0,00672772791016529
2018 -0,135891265256739
