Treated,Synthetic,Sample Mean
k98,8.19,8.128,8.209
k_p98,-4.942,-4.859,-4.706
GVA_Agr,0.047,0.056,0.124
GVA_Ind,0.182,0.194,0.268
GVA_Trade,0.273,0.294,0.22
GVA_Constr,0.123,0.098,0.067
GVA_FBS,0.161,0.161,0.154
h98_Trade,1.342,1.343,1.043
dwellings2000,11.631,11.738,11.828
urban,0.322,0.407,0.431
modern,0.124,0.124,0.088
av_age_ln,3.48,3.486,3.568
special.lnGDPpc_change.1998,0.036,0.037,0.022
special.lnGDPpc_change.2003,0.021,0.024,0.058
special.lnGDPpc_change.2006,0.049,0.057,0.064
