Treated,Synthetic,Sample Mean
k98,8.125,8.271,8.209
k_p98,-3.703,-3.988,-4.707
GVA_Agr,0.075,0.076,0.124
GVA_Ind,0.419,0.36,0.268
GVA_Trade,0.14,0.187,0.22
GVA_Constr,0.075,0.074,0.068
GVA_FBS,0.133,0.138,0.154
h98_Trade,2.115,1.612,1.044
dwellings2000,10.854,11.205,11.827
urban,0.194,0.413,0.431
modern,0.093,0.09,0.088
av_age_ln,3.648,3.614,3.568
special.lnGDPpc_change.1998,0.022,-0.01,0.022
special.lnGDPpc_change.2003,0.022,0.025,0.058
special.lnGDPpc_change.2006,0.072,0.06,0.064
