V1,V2
1997,1997,0.114754484727334
1998,1998,0.0174675398091829
1999,1999,-0.0280399024133138
2000,2000,0.0240539570860874
2001,2001,0.0339535585098112
2002,2002,0.0457503562142152
2003,2003,0.0133455961113839
2004,2004,-0.0127218067621926
2005,2005,0.0627698065210032
2006,2006,0.0254323501726653
2007,2007,0.0938804180378913
2008,2008,-0.100196991777284
2009,2009,-0.19539654648369
2010,2010,-0.0249612941100837
2011,2011,0.106977231778033
2012,2012,0.0532411306125446
2013,2013,0.0361843568645044
2014,2014,0.000480632590953862
2015,2015,-0.0267887270523382
2016,2016,-0.0052859539966214
2017,2017,-0.0355495817136077
2018,2018,-0.0267412039557267
