Treated,Synthetic,Sample Mean
k98,9.229,9.198,8.209
k_p98,-4.221,-4.214,-4.707
GVA_Agr,0.045,0.046,0.124
GVA_Ind,0.306,0.284,0.268
GVA_Trade,0.263,0.263,0.22
GVA_Constr,0.087,0.082,0.068
GVA_FBS,0.149,0.15,0.154
h98_Trade,1.296,1.307,1.044
dwellings2000,12.17,12.19,11.827
urban,0.466,0.468,0.431
modern,0.067,0.105,0.088
av_age_ln,3.471,3.476,3.568
special.lnGDPpc_change.1998,0.029,0.029,0.022
special.lnGDPpc_change.2003,0.006,0.018,0.058
special.lnGDPpc_change.2006,0.046,0.048,0.064
