94,95,96,97,98,99
1997,0.0665689503212333,0.127081020791901,0.165128239393112,0.120822956277476,0.154145223451347,0.0547805181289329
1998,-0.0254111283414125,0.00685350707452645,0.082802830078689,0.0156566290869986,3.75676632429281e-06,0.0248996441899715
1999,-0.00536506217646171,-0.107514016413169,0.0522126427796014,-0.0887260056262859,-0.0309879716076006,0.0121409985640328
2000,0.0305800741166376,-0.0174421568702952,0.0392206301629441,0.0384672258012279,0.037158086459518,0.0163398828464922
2001,0.0132271844210006,0.00163312260374519,0.0700661574258845,0.0599826820207894,0.0355644946587844,0.0232477099286631
2002,0.0458208219398064,0.0359111008142666,0.0156503241223671,0.046658804983169,0.0560299630866227,0.0744311223390594
2003,0.00624482938271613,0.00393222167127057,0.0509044124210002,0.0052892441652538,0.00201859358451167,0.0116842754435509
2004,-0.0152567985036681,0.0237373355203816,0.00615061535766138,-0.0375977841658805,0.0219966760796581,-0.0753608848613079
2005,0.0477163209753199,0.106182925568079,0.0633052689737027,0.0424850812983967,0.0584979756487826,0.0584312666617379
2006,-0.0197537583230951,0.0021243803426693,0.0740675989082906,0.0356907415268823,0.0465992280961454,0.0138659104850996
2007,0.0784410017653649,0.149677825255162,0.108077174383995,0.0734659813655185,0.136135602266704,0.017484923190603
2008,-0.0980311481452445,-0.102231895547656,-0.0925457018300472,-0.0933816916159056,-0.141647848221845,-0.0733436653030083
2009,-0.16118656397661,-0.14633384372705,-0.243671147472269,-0.252591047461342,-0.17558373991821,-0.193012936346658
2010,-0.0173171540803341,-0.0123159211051408,-0.054590034999633,-0.0226603996353781,-0.0222871490736532,-0.0205971057663628
2011,0.193491282316971,0.146490747207395,0.0417204885314003,0.120506019594274,0.0590964948701477,0.0805583581480126
2012,0.0183285776175413,0.0326995685019739,0.127078157783035,0.044565018256424,0.0185372840692727,0.0782381774470209
2013,-0.0303146951798277,-0.0295582417951417,0.0947365067230885,0.119656082080213,0.0643695404806252,-0.00178305112193098
2014,-0.0325082525606483,-0.0420229344923758,0.0111382422966826,-0.044959612000973,0.0874051489482903,0.0238312033547474
2015,-0.0497095429907722,-0.0297931351458233,-0.0238997595755894,-0.00214108102815658,-0.0326630477494275,-0.0225257958242599
2016,-0.014746010587912,-0.0388708718168175,0.0102376060332117,0.0265571648857116,0.00416394889956233,-0.0190575613934845
2017,-0.0248028277023214,-0.0178513993374138,-0.0368965535967916,0.004194291435603,-0.0657784569782059,-0.0721625441025165
2018,-0.0406651392073016,-0.118894739480255,0.0508477723878733,-0.0336888010967565,0.0182393114862607,-0.0362856278241805
