Treated,Synthetic,Sample Mean
k98,6.861,7.277,8.209
k_p98,-5.299,-5.051,-4.707
GVA_Agr,0.286,0.236,0.124
GVA_Ind,0.177,0.179,0.268
GVA_Trade,0.183,0.182,0.22
GVA_Constr,0.068,0.065,0.068
GVA_FBS,0.083,0.155,0.154
h98_Trade,0.695,1.092,1.044
dwellings2000,11.081,11.152,11.827
urban,0.434,0.403,0.431
modern,0.064,0.096,0.088
av_age_ln,3.528,3.536,3.568
special.lnGDPpc_change.1998,0.023,0.027,0.022
special.lnGDPpc_change.2003,0.149,0.07,0.058
special.lnGDPpc_change.2006,0.117,0.098,0.064
