V1,V2
1997,1997,0.0883075755553451
1998,1998,0.00154149826903301
1999,1999,0.0187003227094278
2000,2000,-0.0222796349684433
2001,2001,0.0331855777614008
2002,2002,0.0147282628316498
2003,2003,0.0122380825869606
2004,2004,-0.0101448989333716
2005,2005,0.0561368708368473
2006,2006,0.0257049196000158
2007,2007,0.0554550728508659
2008,2008,-0.0694236843909397
2009,2009,-0.150603578909483
2010,2010,0.0520478038900157
2011,2011,0.0440438540494168
2012,2012,0.0367356126902426
2013,2013,0.0300380361181917
2014,2014,0.0275319669438819
2015,2015,-0.0379762120925796
2016,2016,-0.00552534125347667
2017,2017,-0.00272170720733285
2018,2018,0.0182575205698327
