100,101
1997,-0.0198734693939665,-0.0747503921878774
1998,0.000987568065283842,0.0110594695822342
1999,0.024875211089569,0.0482905951653327
2000,0.0172795131319758,0.0242568853946456
2001,-0.0669798398543864,-0.0241710540601133
2002,-0.0296530123830615,-0.0914178081161648
2003,-0.00205244037029331,-0.0932552873386151
2004,-0.0447970883564029,-0.0741944788457293
2005,0.00156259636441501,0.0331539607453464
2006,-0.00246267322807444,-0.0525495127156414
2007,0.0173740191466982,-0.0300980384731571
2008,0.0488267323176654,-0.0666763890619824
2009,0.0399239854616257,0.109832779543195
2010,0.0727507809470706,0.0878549723616539
2011,-0.0140790831654485,-0.0345185556635141
2012,0.0711825239000721,0.0517879739002858
2013,0.0309632635205259,-0.0515466011491106
2014,0.0353693383600818,0.163395338259592
2015,0.0444508056622594,0.0553031582410351
2016,-0.00686042829065721,-0.0174914924247743
2017,0.0200676786066373,0.0377199317027018
2018,-0.0382115783394503,0.0387632223808082
