Treated,Synthetic,Sample Mean
k98,7,7.442,8.209
k_p98,-5.098,-4.714,-4.707
GVA_Agr,0.146,0.163,0.124
GVA_Ind,0.339,0.338,0.268
GVA_Trade,0.18,0.18,0.22
GVA_Constr,0.068,0.055,0.068
GVA_FBS,0.096,0.118,0.154
h98_Trade,0.695,1.308,1.044
dwellings2000,11.035,11.139,11.827
urban,0.551,0.351,0.431
modern,0.079,0.098,0.088
av_age_ln,3.467,3.571,3.568
special.lnGDPpc_change.1998,0.066,-0.004,0.022
special.lnGDPpc_change.2003,0.125,0.062,0.058
special.lnGDPpc_change.2006,0.076,0.081,0.064
