78,79,80,81,82
1997,0.117954697907762,0.0597171152174142,0.0998443662585458,0.0760506317366884,0.0879710666563148
1998,0.0322291276321138,0.000378580827240245,0.0037809627243964,-0.0339686148443158,0.00528743500573043
1999,0.0384686877569487,0.00636926482973441,0.0434450439843597,0.0148856237123315,-0.00966700673623556
2000,0.137946909037373,-0.0507454318572236,-0.0748751135885372,-0.119579008692653,-0.00414552974117563
2001,0.0594967504811688,0.04877257889092,0.00897219758186506,0.0128942322492525,0.0357921296037976
2002,0.0302140931159765,-0.00740638190491625,0.0485208654288444,-0.0128379963325392,0.0151507338508833
2003,0.0248629663069504,-0.000343367009314761,0.0031853496184565,0.0035693452963827,0.029916118722328
2004,0.010873086355507,-0.000826828989775485,0.00675296612651886,-0.029446812175775,-0.0380769059833334
2005,0.0327279307685386,0.0967942732462476,0.0199182014005642,0.063078092506099,0.068165856262787
2006,0.0920176334681771,0.00377407467130614,0.00482740067347665,0.0215908312141014,0.00631465797301754
2007,-0.017099834016898,0.0633890016156761,0.0906000210817922,0.0666657920840031,0.0737203834897564
2008,-0.139990003223651,-0.0623344571350919,-0.109939227948546,0.0102380128957308,-0.0450927465431407
2009,-0.0893890750926213,-0.183554855574976,-0.194282315317959,-0.189547793310589,-0.0962438552512675
2010,-0.0239796821864449,0.16374622824757,0.0748838920659649,0.0814793694519415,-0.0358907881289534
2011,0.090380145229234,-0.0597602161078479,0.0456042723533691,0.0806864869180255,0.0633085818543033
2012,0.064247895500062,0.0272457346140157,0.0556844332590444,0.013296562030321,0.02320343804777
2013,0.00820469368625048,0.00882146421383227,-0.00253960916973244,0.0994058516890475,0.0362977801715608
2014,0.0311531596216167,0.0268434697822312,0.0638634360681328,-0.0135461231930815,0.0293458924405104
2015,-0.0218722733311181,0.0133058435389929,-0.0261164555797279,-0.154001407375379,-0.00119676771566551
2016,0.0051654123589323,0.0430217744763987,-0.0357976238551035,-0.0591615785716525,0.0191453093240417
2017,-0.0198365395449628,-0.0559337993321279,0.0262119510963459,0.0664709184415118,-0.0305210666974312
2018,-0.0190762969470216,0.0233181647674632,-0.00766727554360021,0.101295075439415,-0.00658206486709335
