1
1997,-0.0315361339911366
1998,-0.0145420589436428
1999,0.0069963047278002
2000,0.00790681135509623
2001,-0.00103304715787948
2002,-0.0174853083723188
2003,-0.0142011078905902
2004,0.00390247517044133
2005,-0.0301424181811578
2006,-0.023091353302258
2007,-0.0437708853895434
2008,-0.00773142128205635
2009,-0.044107698220238
2010,-0.0416379662039271
2011,-0.054819051325465
2012,-0.0453365498988605
2013,-0.0834159524026145
2014,-0.0473047766625429
2015,-0.00675082941747578
2016,0.0378192125803672
2017,0.00614476345795518
2018,-0.0163205069728293
