Treated,Synthetic,Sample Mean
k98,8.743,8.757,8.209
k_p98,-3.681,-3.91,-4.707
GVA_Agr,0.043,0.066,0.124
GVA_Ind,0.38,0.363,0.268
GVA_Trade,0.183,0.199,0.22
GVA_Constr,0.081,0.079,0.068
GVA_FBS,0.153,0.136,0.154
h98_Trade,2.115,1.499,1.044
dwellings2000,11.448,11.652,11.827
urban,0.324,0.399,0.431
modern,0.083,0.088,0.088
av_age_ln,3.641,3.637,3.568
special.lnGDPpc_change.1998,0.008,0.002,0.022
special.lnGDPpc_change.2003,0.016,0.017,0.058
special.lnGDPpc_change.2006,0.031,0.037,0.064
