Treated,Synthetic,Sample Mean
k98,7.586,8.171,8.209
k_p98,-4.519,-4.415,-4.707
GVA_Agr,0.045,0.1,0.124
GVA_Ind,0.455,0.361,0.268
GVA_Trade,0.134,0.167,0.22
GVA_Constr,0.048,0.065,0.068
GVA_FBS,0.174,0.15,0.154
h98_Trade,1.441,1.424,1.044
dwellings2000,11.252,11.475,11.827
urban,0.891,0.455,0.431
modern,0.036,0.057,0.088
av_age_ln,3.409,3.601,3.568
special.lnGDPpc_change.1998,-0.017,0.017,0.022
special.lnGDPpc_change.2003,0.109,0.106,0.058
special.lnGDPpc_change.2006,0.107,0.086,0.064
