Treated,Synthetic,Sample Mean
k98,9.911,10.426,8.209
k_p98,-3.16,-3.256,-4.707
GVA_Agr,0.018,0.011,0.124
GVA_Ind,0.232,0.18,0.268
GVA_Trade,0.232,0.362,0.22
GVA_Constr,0.055,0.063,0.068
GVA_FBS,0.231,0.248,0.154
h98_Trade,2.651,1.994,1.044
dwellings2000,12.144,12.546,11.827
urban,0.51,0.726,0.431
modern,0.083,0.125,0.088
av_age_ln,3.574,3.606,3.568
special.lnGDPpc_change.1998,0.05,0.049,0.022
special.lnGDPpc_change.2003,0.063,0.025,0.058
special.lnGDPpc_change.2006,0.062,0.06,0.064
