Treated,Synthetic,Sample Mean
k98,6.989,7.498,8.209
k_p98,-3.827,-4.963,-4.707
GVA_Agr,0.1,0.135,0.124
GVA_Ind,0.312,0.195,0.268
GVA_Trade,0.192,0.234,0.22
GVA_Constr,0.082,0.076,0.068
GVA_FBS,0.162,0.168,0.154
h98_Trade,2.115,1.4,1.044
dwellings2000,9.901,11.352,11.827
urban,0.287,0.464,0.431
modern,0.065,0.072,0.088
av_age_ln,3.789,3.756,3.568
special.lnGDPpc_change.1998,0.004,0.015,0.022
special.lnGDPpc_change.2003,0.004,0.017,0.058
special.lnGDPpc_change.2006,0.038,0.044,0.064
