Treated,Synthetic,Sample Mean
k98,6.101,6.913,8.209
k_p98,-5.711,-5.112,-4.707
GVA_Agr,0.253,0.233,0.124
GVA_Ind,0.137,0.242,0.268
GVA_Trade,0.183,0.172,0.22
GVA_Constr,0.022,0.035,0.068
GVA_FBS,0.142,0.147,0.154
h98_Trade,0.695,0.897,1.044
dwellings2000,10.73,10.893,11.827
urban,0.423,0.225,0.431
modern,0.069,0.079,0.088
av_age_ln,3.574,3.537,3.568
special.lnGDPpc_change.1998,0.039,0.025,0.022
special.lnGDPpc_change.2003,0.064,0.063,0.058
special.lnGDPpc_change.2006,0.087,0.049,0.064
