Treated,Synthetic,Sample Mean
k98,7.019,8.706,8.209
k_p98,-4.019,-4.059,-4.707
GVA_Agr,0.031,0.043,0.124
GVA_Ind,0.411,0.305,0.268
GVA_Trade,0.133,0.218,0.22
GVA_Constr,0.066,0.101,0.068
GVA_FBS,0.179,0.161,0.154
h98_Trade,2.115,1.482,1.044
dwellings2000,9.747,11.742,11.827
urban,0.568,0.543,0.431
modern,0.05,0.092,0.088
av_age_ln,3.715,3.709,3.568
special.lnGDPpc_change.1998,0.025,-0.005,0.022
special.lnGDPpc_change.2003,-0.016,-0.003,0.058
special.lnGDPpc_change.2006,0.019,0.038,0.064
