Treated,Synthetic,Sample Mean
k98,10.239,8.926,8.209
k_p98,-3.19,-4.423,-4.707
GVA_Agr,0.047,0.039,0.124
GVA_Ind,0.118,0.217,0.268
GVA_Trade,0.329,0.298,0.22
GVA_Constr,0.089,0.083,0.068
GVA_FBS,0.203,0.165,0.154
h98_Trade,2.03,1.703,1.044
dwellings2000,12.424,12.271,11.827
urban,0.328,0.495,0.431
modern,0.261,0.165,0.088
av_age_ln,3.088,3.368,3.568
special.lnGDPpc_change.1998,0.044,0.059,0.022
special.lnGDPpc_change.2003,0.026,0.04,0.058
special.lnGDPpc_change.2006,0.037,0.06,0.064
