Treated,Synthetic,Sample Mean
k98,9.12,8.742,8.209
k_p98,-3.662,-4.064,-4.707
GVA_Agr,0.028,0.105,0.124
GVA_Ind,0.233,0.279,0.268
GVA_Trade,0.325,0.21,0.22
GVA_Constr,0.054,0.056,0.068
GVA_FBS,0.156,0.156,0.154
h98_Trade,2.287,1.58,1.044
dwellings2000,11.721,11.737,11.827
urban,0.274,0.28,0.431
modern,0.173,0.111,0.088
av_age_ln,3.552,3.551,3.568
special.lnGDPpc_change.1998,0.028,0.027,0.022
special.lnGDPpc_change.2003,0.044,0.046,0.058
special.lnGDPpc_change.2006,0.015,0.018,0.064
