Treated,Synthetic,Sample Mean
k98,7.557,7.609,8.209
k_p98,-4.457,-4.485,-4.707
GVA_Agr,0.152,0.102,0.124
GVA_Ind,0.21,0.215,0.268
GVA_Trade,0.2,0.233,0.22
GVA_Constr,0.079,0.075,0.068
GVA_FBS,0.159,0.175,0.154
h98_Trade,1.441,1.654,1.044
dwellings2000,11.133,11.11,11.827
urban,0.537,0.387,0.431
modern,0.053,0.078,0.088
av_age_ln,3.713,3.623,3.568
special.lnGDPpc_change.1998,0.058,0.058,0.022
special.lnGDPpc_change.2003,0.062,0.062,0.058
special.lnGDPpc_change.2006,0.116,0.112,0.064
