Treated,Synthetic,Sample Mean
k98,7.585,7.603,8.209
k_p98,-5.047,-5.036,-4.707
GVA_Agr,0.136,0.142,0.124
GVA_Ind,0.299,0.305,0.268
GVA_Trade,0.186,0.189,0.22
GVA_Constr,0.062,0.063,0.068
GVA_FBS,0.099,0.127,0.154
h98_Trade,0.695,0.694,1.044
dwellings2000,11.648,11.64,11.827
urban,0.539,0.488,0.431
modern,0.069,0.07,0.088
av_age_ln,3.506,3.603,3.568
special.lnGDPpc_change.1998,0.013,0.014,0.022
special.lnGDPpc_change.2003,0.074,0.045,0.058
special.lnGDPpc_change.2006,0.038,0.041,0.064
