Treated,Synthetic,Sample Mean
k98,6.305,7.07,8.209
k_p98,-3.98,-4.535,-4.707
GVA_Agr,0.08,0.144,0.124
GVA_Ind,0.172,0.278,0.268
GVA_Trade,0.241,0.142,0.22
GVA_Constr,0.051,0.061,0.068
GVA_FBS,0.092,0.188,0.154
h98_Trade,2.287,1.975,1.044
dwellings2000,9.236,10.42,11.827
urban,0.119,0.101,0.431
modern,0.201,0.111,0.088
av_age_ln,3.499,3.44,3.568
special.lnGDPpc_change.1998,0.035,0.023,0.022
special.lnGDPpc_change.2003,-0.047,0.046,0.058
special.lnGDPpc_change.2006,0.009,0.061,0.064
