V1,V2
1997,1997,-0.0473119307909219
1998,1998,0.00602351882375902
1999,1999,0.0365829031274508
2000,2000,0.0207681992633107
2001,2001,-0.0455754469572498
2002,2002,-0.0605354102496131
2003,2003,-0.0476538638544542
2004,2004,-0.0594957836010661
2005,2005,0.0173582785548807
2006,2006,-0.0275060929718579
2007,2007,-0.00636200966322944
2008,2008,-0.0089248283721585
2009,2009,0.0748783825024104
2010,2010,0.0803028766543623
2011,2011,-0.0242988194144813
2012,2012,0.061485248900179
2013,2013,-0.0102916688142924
2014,2014,0.0993823383098371
2015,2015,0.0498769819516473
2016,2016,-0.0121759603577158
2017,2017,0.0288938051546695
2018,2018,0.000275822020678964
